lambda	n	k
1.240	3.68	3.62
1.181	3.660625	3.59125
1.127	3.62	3.58
1.078	3.564375	3.57875
1.033	3.5	3.58
0.9919	3.4325	3.5725
0.9537	3.37	3.56
0.9184	3.326875	3.54125
0.8856	3.29	3.52
0.8551	3.25125	3.5
0.8266	3.21	3.48
0.7999	3.158125	3.46
0.7749	3.11	3.44
0.7514	3.07875	3.419375
0.7293	3.06	3.4
0.7085	3.054375	3.385
0.6888	3.06	3.37
0.6702	3.07625	3.35
0.6525	3.1	3.33
0.6358	3.129375	3.3125
0.6199	3.16	3.3
0.6048	3.188125	3.296875
0.5904	3.21	3.3
0.5767	3.225	3.309375
0.5636	3.22	3.32
0.5510	3.178125	3.32625
0.5391	3.11	3.33
0.5276	3.013125	3.3325
0.5166	2.91	3.33
0.5061	2.829375	3.3175
0.4959	2.75	3.3
0.4862	2.655	3.283125
0.4769	2.56	3.26
0.4679	2.47625	3.2225
0.4592	2.4	3.18
0.4509	2.33125	3.14
0.4428	2.27	3.1
0.4350	2.2175	3.060625
0.4275	2.17	3.02
0.4203	2.123125	2.975
0.4133	2.08	2.93
0.4065	2.043125	2.889375
0.3999	2.01	2.85
0.3936	1.97875	2.808125
0.3875	1.95	2.77
0.3815	1.92375	2.7425
0.3757	1.9	2.72
0.3701	1.878125	2.699375
0.3647	1.86	2.68
0.3594	1.851875	2.660625
0.3542	1.84	2.64
0.3493	1.8075	2.615
0.3444	1.77	2.59
0.3397	1.738125	2.57
0.3351	1.71	2.55
0.3306	1.68875	2.525625
0.3263	1.67	2.5
0.3220	1.650625	2.475
0.3179	1.63	2.45
0.3139	1.605	2.425
0.3100	1.58	2.4
0.3061	1.559375	2.375
0.3024	1.54	2.35
0.2988	1.52	2.325625
0.2952	1.5	2.3
0.2917	1.47875	2.27
0.2883	1.46	2.24
0.2850	1.448125	2.214375
0.2818	1.44	2.19
0.2786	1.43625	2.165
0.2755	1.43	2.14
0.2725	1.41	2.114375
0.2695	1.39	2.09
0.2666	1.3825	2.07
0.2638	1.38	2.05
0.2610	1.38	2.025625
0.2583	1.38	2
0.2556	1.375625	1.975
0.2530	1.37	1.95
0.2505	1.364375	1.925
0.2480	1.36	1.9
0.2455	1.35875	1.874375
0.2431	1.36	1.85
0.2407	1.36375	1.82875
0.2384	1.37	1.81
0.2362	1.379375	1.79375
0.2339	1.39	1.78
0.2317	1.4	1.769375
0.2296	1.41	1.76
0.2275	1.42	1.749375
0.2254	1.43	1.74
0.2234	1.44	1.734375
0.2214	1.45	1.73
0.2194	1.46125	1.724375
0.2175	1.47	1.72
0.2156	1.471875	1.719375
0.2138	1.47	1.72
0.2119	1.465	1.720625
0.2101	1.46	1.72
0.2084	1.4575	1.716875
0.2066	1.46	1.71
