"wavelength" "n" "epsilon"
302.39 1.812+1.92i -0.403056+6.95808i
309.95 1.83+1.916i -0.322156+7.01256i
317.897 1.84+1.904i -0.239616+7.00672i
326.263 1.824+1.878i -0.199908+6.850944i
335.081 1.798+1.86i -0.226796+6.68856i
344.389 1.766+1.846i -0.28896+6.520072i
354.229 1.74+1.848i -0.387504+6.43104i
364.647 1.716+1.862i -0.522388+6.390384i
375.697 1.696+1.906i -0.75642+6.465152i
387.438 1.674+1.936i -0.94582+6.481728i
399.935 1.658+1.956i -1.076972+6.486096i
413.267 1.636+1.958i -1.157268+6.406576i
427.517 1.616+1.94i -1.152144+6.27008i
442.786 1.562+1.904i -1.185372+5.948096i
459.185 1.426+1.846i -1.37424+5.264792i
476.846 1.242+1.796i -1.683052+4.461264i
495.92 0.916+1.84i -2.546544+3.37088i
516.583 0.608+2.12i -4.124736+2.57792i
539.044 0.402+2.54i -6.289996+2.04216i
563.545 0.306+2.88i -8.200764+1.76256i
652.526 0.166+3.15i -9.894944+1.0458i
688.778 0.16+3.8i -14.4144+1.216i
729.294 0.164+4.35i -18.895604+1.4268i
774.875 0.174+4.86i -23.589324+1.69128i
826.533 0.188+5.39i -29.016756+2.02664i
885.571 0.21+5.88i -34.5303+2.4696i
953.692 0.236+6.47i -41.805204+3.05384i
