"wavelength" "epsilon"
300 -0.42821455410492+6.93883817961898i
302.341137123746 -0.40357035954643+6.95768660640681i
304.682274247492 -0.37889123884652+6.97635515598638i
307.023411371237 -0.35398250245664+6.99390918426379i
309.364548494983 -0.32860401170139+7.00921615562669i
311.705685618729 -0.30263753514285+7.02091461926621i
314.046822742475 -0.27702615232364+7.02565024375099i
316.387959866221 -0.25325951224813+7.01904237481955i
318.729096989967 -0.23282441859613+6.99678523463947i
321.070234113712 -0.2168286354793+6.95886302898947i
323.411371237458 -0.20582598271513+6.91152952530677i
325.752508361204 -0.20032634717786+6.8615357256775i
328.09364548495 -0.20069317064674+6.81490704875315i
330.434782608696 -0.20614256143685+6.77198428335239i
332.775919732441 -0.21534980048093+6.73042861069238i
335.117056856187 -0.22698699413801+6.68788548121504i
337.458193979933 -0.24002493893202+6.64293863814488i
339.799331103679 -0.2545752597343+6.5977555751286i
342.140468227425 -0.27102190877773+6.55535926358834i
344.481605351171 -0.2897488272878+6.51877262108816i
346.822742474916 -0.31094019896959+6.49004116876977i
349.163879598662 -0.33407044141461+6.46773760302889i
351.505016722408 -0.35845640274451+6.44966364635376i
353.846153846154 -0.38341493108098+6.43362102123266i
356.1872909699 -0.40850140354556+6.4178579318412i
358.528428093646 -0.43484138489801+6.40356168001839i
360.869565217391 -0.46419529264746+6.39310789324473i
363.210702341137 -0.49832532660955+6.38887553514518i
365.551839464883 -0.53895121280868+6.39318622178043i
367.892976588629 -0.58600173055+6.40594345608462i
370.234113712375 -0.63699489869638+6.42379576338271i
372.57525083612 -0.68927885707649+6.44316230052205i
374.916387959866 -0.74020174551905+6.46046222434999i
377.257525083612 -0.78726818830442+6.47237940049413i
379.598662207358 -0.82980259864606+6.4786760458403i
381.939799331104 -0.86830375926443+6.48110093834407i
384.280936454849 -0.90329003973317+6.48143598904199i
386.622073578595 -0.93527980962591+6.48146310897061i
388.963210702341 -0.96477598573965+6.48282520189915i
391.304347826087 -0.99209157479757+6.48545681321903i
393.645484949833 -1.01741200035802+6.48814479897564i
395.986622073579 -1.0409203202232+6.48965473377669i
398.327759197324 -1.06279959219527+6.48875219222988i
400.66889632107 -1.08322973362692+6.48421302683714i
403.010033444816 -1.10217221024751+6.47552802682648i
405.351170568562 -1.11923139267774+6.46335666309545i
407.692307692308 -1.13397866547193+6.44846636156595i
410.033444816054 -1.14598541318439+6.43162454815988i
412.374581939799 -1.15482302036944+6.41359864879915i
414.715719063545 -1.16011112054369+6.39510287155833i
417.056856187291 -1.16214013236681+6.37611155903888i
419.397993311037 -1.16169186972479+6.35605705262856i
421.739130434783 -1.15955942472215+6.33435925401736i
424.080267558528 -1.15653588946341+6.31043806489523i
426.421404682274 -1.15341435605307+6.28371338695216i
428.76254180602 -1.1509825676697+6.2535931914915i
431.103678929766 -1.14992194018009+6.21924829455499i
433.444816053512 -1.15081608639498+6.17963136964917i
435.785953177258 -1.15424497878331+6.13368697076551i
438.127090301003 -1.16078858981405+6.08035965189546i
440.468227424749 -1.17102689195613+6.0185939670305i
442.809364548495 -1.18553985744436+5.94733447065327i
445.150501672241 -1.20466478767042+5.86603479445456i
447.491638795987 -1.227796928763+5.77612482263662i
449.832775919732 -1.2541029602034+5.67951392869354i
452.173913043478 -1.28274956147292+5.57811148611945i
454.515050167224 -1.31290341205285+5.47382686840845i
456.85618729097 -1.3437311914245+5.36856944905465i
459.197324414716 -1.3743995791262+5.2642486014699i
461.538461538462 -1.40447246863886+5.1622008417625i
463.879598662207 -1.43507771458512+5.06150715956887i
466.220735785953 -1.46772803542478+4.96069349839948i
468.561872909699 -1.50393614961765+4.8582858017648i
470.903010033445 -1.54521477562352+4.75281001317531i
473.244147157191 -1.59307663190221+4.64279207614148i
475.585284280936 -1.64903443691352+4.52675793417378i
477.926421404682 -1.71457260504848+4.40329276139855i
480.267558528428 -1.79038980514281+4.27262602533066i
482.608695652174 -1.87631589493753+4.13680531428656i
484.94983277592 -1.97213576238613+3.99797232277753i
487.290969899666 -2.07763429544212+3.85826874531485i
489.632107023411 -2.192596382059+3.71983627640981i
491.973244147157 -2.31680691019026+3.58481661057367i
494.314381270903 -2.45005076778942+3.45535144231772i
496.655518394649 -2.59211270486773+3.33356737800371i
498.996655518395 -2.74276792711504+3.22054706410787i
501.33779264214 -2.90177606746806+3.11566979610004i
503.678929765886 -3.06889532389001+3.01815791174505i
506.020066889632 -3.24388389434409+2.92723374880771i
508.361204013378 -3.42649997679352+2.84211964505284i
510.702341137124 -3.61650176920151+2.76203793824526i
513.04347826087 -3.81364746953127+2.68621096614978i
515.384615384615 -4.01769527574601+2.61386106653123i
517.725752508361 -4.22838727046129+2.54422907247844i
520.066889632107 -4.44507335522072+2.47700591695826i
522.408026755853 -4.66669890397605+2.41234680271683i
524.749163879599 -4.89219070528367+2.35042826265813i
527.090301003345 -5.12047554770003+2.29142682968616i
529.43143812709 -5.35048021978152+2.2355190367049i
531.772575250836 -5.58113151008455+2.18288141661835i
534.113712374582 -5.81135620716556+2.13369050233049i
536.454849498328 -6.04008109958095+2.08812282674531i
538.795986622074 -6.26623297588712+2.04635492276681i
541.137123745819 -6.48872380559959+2.00848856612041i
543.478260869565 -6.70638393825559+1.97421378663533i
545.819397993311 -6.91801577365537+1.94307961692714i
548.160535117057 -7.12242168694669+1.91463496524774i
550.501672240803 -7.31840405327734+1.88842873984902i
552.842809364549 -7.50476524779506+1.86400984898288i
555.183946488294 -7.68030764564763+1.84092720090123i
557.52508361204 -7.84383362198279+1.81872970385595i
559.866220735786 -7.99414555194832+1.79696626609896i
562.207357859532 -8.13004581069199+1.77518579588213i
564.548494983278 -8.25036530580459+1.75294406079585i
566.889632107023 -8.35487723946063+1.73002336064424i
569.230769230769 -8.44449023543322+1.70647895612151i
571.571906354515 -8.52018049671447+1.68238235429574i
573.913043478261 -8.58292422629649+1.65780506223499i
576.254180602007 -8.63369762717139+1.63281858700732i
578.595317725752 -8.67347690233127+1.60749443568081i
580.936454849498 -8.70323825476823+1.58190411532351i
