lambda	n	k
6.199E-4	0.999528	1.23E-4
6.351E-4	0.999476	1.33E-4
6.508E-4	0.999421	1.43E-4
6.665E-4	0.999377	1.54E-4
6.831E-4	0.999332	1.67E-4
6.997E-4	0.999288	1.80E-4
7.166E-4	0.999243	1.94E-4
7.344E-4	0.999197	2.09E-4
7.523E-4	0.999150	2.25E-4
7.705E-4	0.999102	2.43E-4
7.897E-4	0.999051	2.62E-4
8.087E-4	0.999000	2.82E-4
8.287E-4	0.99895	3.04E-4
8.492E-4	0.99889	3.27E-4
8.694E-4	0.99883	3.51E-4
8.906E-4	0.99877	3.78E-4
9.129E-4	0.99871	4.06E-4
9.350E-4	0.99865	4.38E-4
9.581E-4	0.99858	4.72E-4
9.816E-4	0.99851	5.08E-4
10.05E-4	0.99844	5.46E-4
10.30E-4	0.99837	5.86E-4
10.55E-4	0.99829	6.30E-4
10.81E-4	0.99821	6.77E-4
11.08E-4	0.99813	7.29E-4
11.34E-4	0.99805	7.82E-4
11.62E-4	0.99796	8.40E-4
11.91E-4	0.99787	9.05E-4
12.20E-4	0.99778	9.72E-4
12.50E-4	0.99769	1.04E-3
12.81E-4	0.99759	1.12E-3
13.12E-4	0.99749	1.20E-3
13.43E-4	0.99739	1.28E-3
13.76E-4	0.99729	1.37E-3
14.10E-4	0.99718	1.47E-3
14.45E-4	0.99707	1.57E-3
14.79E-4	0.99697	1.68E-3
15.16E-4	0.99686	1.79E-3
15.54E-4	0.99675	1.92E-3
15.92E-4	0.99666	2.05E-3
16.31E-4	0.99656	2.16E-3
16.71E-4	0.99646	2.27E-3
17.10E-4	0.99634	2.38E-3
17.54E-4	0.99620	2.51E-3
17.97E-4	0.99606	2.66E-3
18.39E-4	0.99592	2.82E-3
18.84E-4	0.99579	2.99E-3
19.31E-4	0.99566	3.19E-3
19.77E-4	0.99555	3.37E-3
20.26E-4	0.99544	3.55E-3
20.77E-4	0.99532	3.76E-3
21.27E-4	0.99521	3.96E-3
21.79E-4	0.99513	4.17E-3
22.34E-4	0.99508	4.37E-3
22.87E-4	0.99498	4.46E-3
23.44E-4	0.99482	4.54E-3
24.03E-4	0.99458	4.74E-3
24.60E-4	0.99437	4.98E-3
25.20E-4	0.99419	5.23E-3
25.84E-4	0.99400	5.51E-3
26.43E-4	0.99384	5.78E-3
27.07E-4	0.99368	6.07E-3
27.74E-4	0.99353	6.38E-3
28.44E-4	0.99338	6.70E-3
29.10E-4	0.99324	7.00E-3
29.87E-4	0.99310	7.37E-3
30.54E-4	0.99300	7.70E-3
31.31E-4	0.99293	8.08E-3
32.12E-4	0.99290	8.36E-3
32.89E-4	0.99284	8.59E-3
33.69E-4	0.99273	8.84E-3
34.53E-4	0.99260	9.09E-3
35.32E-4	0.99246	9.33E-3
36.25E-4	0.99228	9.62E-3
37.12E-4	0.99212	9.88E-3
38.03E-4	0.99193	1.02E-2
38.99E-4	0.99174	1.05E-2
39.86E-4	0.99155	1.07E-2
40.92E-4	0.99130	1.11E-2
41.88E-4	0.99108	1.14E-2
42.90E-4	0.99085	1.17E-2
43.96E-4	0.99060	1.20E-2
45.08E-4	0.99034	1.24E-2
46.09E-4	0.99010	1.27E-2
47.32E-4	0.9898	1.31E-2
48.43E-4	0.9896	1.35E-2
49.59E-4	0.9893	1.38E-2
50.81E-4	0.9891	1.41E-2
52.09E-4	0.9888	1.45E-2
53.44E-4	0.9885	1.48E-2
54.62E-4	0.9881	1.51E-2
56.10E-4	0.9877	1.54E-2
57.40E-4	0.9874	1.58E-2
58.76E-4	0.9870	1.61E-2
60.18E-4	0.9866	1.64E-2
61.68E-4	0.9863	1.68E-2
63.25E-4	0.9859	1.69E-2
64.91E-4	0.9855	1.69E-2
66.30E-4	0.9850	1.69E-2
68.12E-4	0.9841	1.70E-2
69.65E-4	0.9834	1.70E-2
71.25E-4	0.9826	1.70E-2
72.93E-4	0.9816	1.70E-2
